Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",1,4.34,Atria Books,Kindle Edition,386,2016,2016,2022/01/06,2022/01/05,2022,2022 (#3),read,I’m irritated. You should read it and decide for yourself.,,,1,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.25,"Little, Brown and Company",Hardcover,393,2018,2018,,2022/11/07,currently-reading,currently-reading (#3),currently-reading,,,,1,0
60149573,Our Missing Hearts,Celeste Ng,"Ng, Celeste",,"=""0593492544""","=""9780593492543""",0,3.90,Penguin Press,Hardcover,335,2022,2022,,2022/11/23,currently-reading,currently-reading (#2),currently-reading,,,,1,0
60393672,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,"Hoover, Colleen",,"=""1668001225""","=""9781668001226""",1,4.05,Atria Books,Paperback,323,2022,2022,2022/11/23,2022/10/25,,,read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.75,Picador,Paperback,213,2019,2015,,2022/11/04,to-read,to-read (#34),to-read,,,,0,0
59947698,The Attic Child,Lola Jaye,"Jaye, Lola",,"=""0063260379""","=""9780063260375""",3,4.39,William Morrow & Company,Hardcover,480,2022,2022,2022/10/24,2022/09/27,,,read,,,,1,0
52089753,Layla,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,3.73,Montlake,Kindle Edition,305,2020,2020,,2022/07/07,"currently-reading, have-but-not-read","currently-reading (#1), have-but-not-read (#2)",currently-reading,,,,1,0
58747122,The Perfect Marriage,Jeneva Rose,"Rose, Jeneva",,"=""""","=""""",0,4.04,,Kindle Edition,344,2020,2020,,2022/10/02,to-read,to-read (#33),to-read,,,,0,0
57822346,On the Rooftop,Margaret Wilkerson Sexton,"Sexton, Margaret Wilkerson",,"=""0063139960""","=""9780063139961""",2,3.27,Ecco,Hardcover,304,2022,2022,2022/09/27,2022/09/10,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",3,4.26,Ballantine Books,Hardcover,384,2022,2022,2022/09/10,2022/08/14,,,read,,,,1,0
58978299,The Devil Takes You Home,Gabino Iglesias,"Iglesias, Gabino",,"=""0316426911""","=""9780316426916""",2,3.68,Mulholland Books,Hardcover,320,2022,2022,2022/09/03,2022/09/03,,,read,,,,1,0
59947696,Wrong Place Wrong Time,Gillian McAllister,"McAllister, Gillian",,"=""0063252341""","=""9780063252349""",2,4.11,William Morrow,Hardcover,416,2022,2022,2022/09/03,2022/08/04,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",5,4.34,Doubleday,Hardcover,720,2015,2015,2022/08/22,2022/08/07,,,read,,,,1,0
358425,When My Autism Gets Too Big!: A Relaxation Book for Children with Autism Spectrum Disorders,Kari Dunn Buron,"Buron, Kari Dunn",Brenda Smith Myles,"=""193128251X""","=""9781931282512""",0,4.24,Autism Asperger Publishing Company,Paperback,44,2003,2004,,2022/08/11,to-read,to-read (#32),to-read,,,,0,0
12671833,Carly's Voice: Breaking Through Autism,Arthur Fleischmann,"Fleischmann, Arthur",Carly Fleischmann,"=""1439194149""","=""9781439194140""",0,4.32,Touchstone,Hardcover,391,2012,2012,,2022/08/11,to-read,to-read (#31),to-read,,,,0,0
53239311,The Happiest Man on Earth,Eddie Jaku,"Jaku, Eddie",,"=""1760980080""","=""9781760980085""",0,4.65,Macmillan Australia,Hardcover,208,2020,2020,,2022/08/05,to-read,to-read (#30),to-read,,,,0,0
58438583,One Italian Summer,Rebecca Serle,"Serle, Rebecca",,"=""1982166797""","=""9781982166793""",0,3.64,Atria Books,Hardcover,255,2022,2022,,2022/08/04,to-read,to-read (#29),to-read,,,,0,0
58909880,The House Across the Lake,Riley Sager,"Sager, Riley",,"=""""","=""""",0,3.58,Hodder & Stoughton,Kindle Edition,369,2022,2022,,2022/08/04,to-read,to-read (#28),to-read,,,,0,0
56269084,The Guilt Trip,Sandie Jones,"Jones, Sandie",,"=""1250265584""","=""9781250265586""",0,3.42,Minotaur Books,Hardcover,320,2021,2021,,2022/07/23,"have-but-not-read, to-read","have-but-not-read (#1), to-read (#27)",to-read,,,,0,0
